country_code,mapped_bvdId,mapped_name,mapping_score,original_name,company_name,BvD ID number ,Country ISO code,"NACE Rev. 2, core code (4 digits)","NAICS 2017, core code (4 digits)",Major sectors,GUO - BvD ID number,GUO - Country ISO code,Status,Date of incorporation,Fixed assets <th USD 2016>,Intangible fixed assets <th USD 2016>,Tangible fixed assets <th USD 2016>,Other fixed assets <th USD 2016>,Current assets <th USD 2016>,Stock <th USD 2016>,Debtors <th USD 2016>,Other current assets <th USD 2016>,Cash & cash equivalent <th USD 2016>,Total assets <th USD 2016>,Shareholders funds <th USD 2016>,Capital <th USD 2016>,Other shareholders funds <th USD 2016>,Non-current liabilities <th USD 2016>,Long term debt <th USD 2016>,Other non-current liabilities <th USD 2016>,Provisions <th USD 2016>,Current liabilities <th USD 2016>,Loans <th USD 2016>,Creditors <th USD 2016>,Other current liabilities <th USD 2016>,Total shareh. funds & liab. <th USD 2016>,Working capital <th USD 2016>,Net current assets <th USD 2016>,Enterprise value <th USD 2016>,Number of employees <2016>,Operating revenue (Turnover) <th USD 2016>,Sales <th USD 2016>,Costs of goods sold <th USD 2016>,Gross profit <th USD 2016>,Other operating expenses <th USD 2016>,Operating P/L [=EBIT] <th USD 2016>,Financial P/L <th USD 2016>,Financial revenue <th USD 2016>,Financial expenses <th USD 2016>,P/L before tax <th USD 2016>,Taxation <th USD 2016>,P/L after tax <th USD 2016>,Extr. and other P/L <th USD 2016>,Extr. and other revenue <th USD 2016>,Extr. and other expenses <th USD 2016>,P/L for period [=Net income] <th USD 2016>,Export revenue <th USD 2016>,Material costs <th USD 2016>,Costs of employees <th USD 2016>,Depreciation & Amortization <th USD 2016>,Other operating items <th USD 2016>,Interest paid <th USD 2016>,Research & Development expenses <th USD 2016>,Cash flow <th USD 2016>,Added value <th USD 2016>,EBITDA <th USD 2016>
MX,,,,Credibility A.T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SV,,,,CrediCampo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLD,CO9002112630,CREZCAMOS S.A.,scoreB,Crezcamos,CREZCAMOS S.A.,CO9002112630,CO,6492,5222,Banks, , ,Active,1992,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"96,646","19,901",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,122","28,434",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"6,667",n.a.,n.a.,n.a.,n.a.,n.a.,"3,679",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.s.,n.a.,n.a.
CN,CN*P0069401,CTRIP,scoreA,Ctrip,CTRIP,CN*P0069401,CN, , , , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
TW,TW28825460,CYWEE INC.,scoreA,Cywee,CYWEE INC.,TW28825460,TW,4690,4249,Wholesale & retail trade, , ,Active,19/11/2007,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,859",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
IN,IN0002205248,DAAWAT FOODS LIMITED,scoreB,Daawat,DAAWAT FOODS LIMITED,IN0002205248,IN,1051,3115,"Food, beverages, tobacco",IN33010FI,IN,Active,04/05/2005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CN,,,,DAC NPL Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD,,,,Dalio/Avis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU,RU56776861,JSC FISHING COMPANY OCTOPUS,scoreB,DalRybProm Fishing Company,JSC FISHING COMPANY OCTOPUS,RU56776861,RU,4618,4249,Wholesale & retail trade, , ,Dissolved (liquidation),05/03/2001,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
RU,RU62135495,DATASPACE PARTNERS LLC,scoreB,DataSpace,DATASPACE PARTNERS LLC,RU62135495,RU,6209,5415,Other services,CYC210145,CY,Active,19/06/2009,"39,646",1,"1,188","13,392","6,904",249,"2,751","3,903","3,047","46,549","-4,067","135,502","-139,569","46,593","46,327",267,0,"4,023",497,"3,346",180,"46,549",-345,"2,880",n.a.,51,"6,111",n.a.,"5,291",820,"3,288","-2,468","-2,933",2,"2,935","-5,401",-391,"-5,010","9,354","9,753",399,"3,523",n.a.,n.a.,n.a.,n.a.,"3,288","2,935",n.a.,n.a.,n.a.,n.a.
CN,,,,DayHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,EE12273921,CERMETS DCM OU,scoreB,DCM,CERMETS DCM OU,EE12273921,EE,2511,3323,Metals & metal products,WW*450933895,n.a.,Active,27/04/2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
KE,KE18-2010,DEACONS (EAST AFRICA) PLC (Previous name: DEACONS KENYA LIMITED),scoreB,Deacons,DEACONS (EAST AFRICA) PLC,KE18-2010,KE,4778,4539,Wholesale & retail trade,KE18-2010,KE,Active,1958,"8,992",340,"6,652","2,000","13,271","9,725",648,"2,899",852,"22,263","11,442","3,014","8,428","2,751","2,751",0,0,"8,070","1,831","3,670","2,569","22,263","6,702","5,201",n.a.,n.a.,"22,607","22,531","12,638","9,969","12,488","-2,519","-1,238",81,"1,319","-3,757","-1,061","-2,696",0,n.a.,n.a.,"-2,696",n.a.,n.a.,"3,015","1,044",n.a.,908,0,"-1,652","1,209","-1,475"
MR,,,,Deep Drilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,,,Delifrost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,Deltaridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZA,ZA196200420307,ALMAZA COURT (PTY) LTD (Alias: DFM),scoreA,DFM,ALMAZA COURT (PTY) LTD,ZA196200420307,ZA,9810,8141,Other services, , ,Active,13/09/1988,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CN,,,,DGCity Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,,,,Dianwoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE,,,,Diaspora Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK,HK0018807715,DIGITAL DOMAIN MEDIA (HK) LIMITED,scoreC,Digital Domain,DIGITAL DOMAIN MEDIA (HK) LIMITED,HK0018807715,HK, , , ,BM17368R,BM,Active,09/07/2013,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CN,HK0019432812,DINGJIN INTERNATIONAL LIMITED,scoreA,Ding Ji International,DINGJIN INTERNATIONAL LIMITED,HK0019432812,HK, , , , , ,Active,21/03/2014,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
HK,HK0022067742,DIRECTEX LIMITED,scoreB,Directel,DIRECTEX LIMITED,HK0022067742,HK, , , , , ,Active,03/02/2015,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
ECA,FR331951939,DOLPHIN INTEGRATION (Alias: DISA),scoreA,DISA,DOLPHIN INTEGRATION S.A.,FR331951939,FR,2611,3344,"Machinery, equipment, furniture, recycling",FR331951939,FR,Active,1985,"24,198","22,915",792,491,"9,535",374,"6,032","3,129",721,"33,733","14,930","1,438","13,492","3,842","2,233","1,609","1,523","14,961","3,264","1,807","9,890","33,733","4,599","-5,426","10,115",192,"16,141","16,141",785,"15,357","16,435","-1,079","-2,134",4,"2,138","-3,213","-1,835","-1,378",0,n.a.,n.a.,"-1,378",n.a.,n.a.,"13,578","17,362","-14,504",301,0,"15,984","28,029","16,283"
CN,,,,Distressed pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLD,PL140056934,DIY POLAND SP. Z O.O.,scoreB,DIY,DIY POLAND SP. Z O.O.,PL140056934,PL,7022,5416,Other services,CY*471793416,CY,Active,2005,"83,844",0,0,"83,844","2,617",0,"1,394","1,223","1,223","86,461","-38,500",12,"-38,512","120,482","105,164","15,318","1,768","4,479","3,083",9,"1,388","86,461","1,385","-1,862",n.a.,n.a.,"14,780","14,779",n.a.,n.a.,n.a.,"6,889","-7,400","2,459","9,859",-511,"-1,368",857,n.a.,n.a.,n.a.,857,n.a.,n.a.,n.a.,"5,631",n.a.,"5,365",n.a.,"6,488",n.a.,"12,520"
TR,,,,Doga Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR,TR1766627F,PIZZA RESTAURANTLARI ANONIM SIRKETI,scoreE,Dominos Pizza,PIZZA RESTAURANTLARI ANONIM SIRKETI,TR1766627F,TR,5610,7223,Hotels & restaurants,TR1765520F,TR,Active,15/07/2010,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CM,CMM069100005733R,DOUAL' ART,scoreE,Douala Retail,DOUAL' ART,CMM069100005733R,CM,9411,8131,Other services, , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8,92,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
ZA,,,,Dr Pius Chilonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,US870368170,"DREAMS, INC.",scoreE,Dream 11,"DREAMS, INC.",US870368170,US,8299,5331,Other services,US241347158L,US,Active,09/04/1980,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CN,,,,Dreamlabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,RO14354253,MFA SA MIZIL,scoreE,Dufa Romania SRL,MFA SA MIZIL,RO14354253,RO,2892,3331,"Machinery, equipment, furniture, recycling",RO*554975599,RO,Active,2001,"3,950",8,"3,942",0,560,359,149,52,51,"4,510","4,085","1,061","3,024",0,0,0,0,425,0,34,392,"4,510",474,135,n.a.,65,"1,294","1,032",n.a.,n.a.,n.a.,6,-4,1,4,2,0,2,0,0,0,2,n.a.,251,511,234,n.a.,4,n.a.,236,751,239
IN,,,,DUMMY - Medall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,IN0002790139,DURJA VYAPAAR PRIVATE LIMITED,scoreB,Durja,DURJA VYAPAAR PRIVATE LIMITED,IN0002790139,IN,4778,4539,Wholesale & retail trade, , ,Active,06/03/2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,162,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
ZA,ZA199700554823,URI SHLOMO TRADE CC (Alias: DYNAMICA),scoreB,Dynamic FM,URI SHLOMO TRADE CC,ZA199700554823,ZA,4652,4236,Wholesale & retail trade, , ,Active,07/02/1997,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
IN,IN0013551911,AUROME INFRA PRIVATE LIMITED,scoreE,E2E infra,AUROME INFRA PRIVATE LIMITED,IN0013551911,IN,4221,2371,Construction, , ,Active,12/03/2013,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,736,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CN,,,,Ealong Biotech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,,,,Easyhin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLD,GB07724924,EATON TOWERS LIMITED,scoreA,Eaton Towers Ltd,EATON TOWERS LIMITED,GB07724924,GB,7010,5511,Other services,GBJE108728,GB,Active,01/08/2011,"734,491","513,722","197,655","23,113","222,168",813,"25,028","196,326","182,811","956,659","374,496","494,629","-120,134","402,258","380,625","21,633","19,662","179,904","116,036","9,922","53,947","956,659","15,920","42,264",n.a.,175,"177,951",n.a.,"134,526","43,425","26,448","16,977","-53,307","-16,690","36,617","-36,330","2,484","-38,814",n.a.,n.a.,n.a.,"-38,814",n.a.,n.a.,"14,957","52,804",n.a.,"36,617",n.a.,"13,990","68,047","69,781"
BR,BR18237580000109,ONG ESTADO DE BEM ESTAR SOCIAL - EBES (Alias: EBES),scoreA,Ebes,ONG ESTADO DE BEM ESTAR SOCIAL - EBES,BR18237580000109,BR,9499,8139,Other services, , ,Active,01/04/2013,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AFR,TZ0000784532,ECOBANK TRANSNATIONAL LIMITED,scoreD,EcoBank Trans...,ECOBANK TRANSNATIONAL LIMITED,TZ0000784532,TZ, , , , , ,Active,23/07/2007,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AM,,,,Ecospan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLD,US240748982L,EDMODO,scoreA,Edmodo,EDMODO,US240748982L,US,7490,5614,Other services,US240748982L,US,Active,2009,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WLD,US296368415L,EDUCENTS INC,scoreA,Educents,EDUCENTS INC,US296368415L,US, , , , , ,Active,2016,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
IN,IN0008885068,NEEV KNOWLEDGE MANAGEMENT PRIVATE LIMITED,scoreE,EduPristine,NEEV KNOWLEDGE MANAGEMENT PRIVATE LIMITED,IN0008885068,IN,8541,6113,"Education, Health",IN0004238248,IN,Active,21/08/2008,354,107,99,147,676,0,191,485,349,"1,029",-694,905,"-1,598",97,0,97,97,"1,626",0,688,937,"1,029",-498,n.a.,n.a.,n.a.,"4,787","4,787",0,"4,787","6,653","-1,866",14,14,0,"-1,852",457,"-2,309",0,0,0,"-2,309",n.a.,n.a.,"2,050",230,n.a.,n.a.,0,"-2,079",n.a.,"-1,636"
KE,KEC159484,EEDI KENYA LIMITED,scoreC,EEA Kenya Ltd,EEDI KENYA LIMITED,KEC159484,KE, , , , , ,Active,08/08/2008,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
TZ,,,,EFFCO Soln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,,,,Ehoutai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,,,,eJiuPi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET,,,,Eleni Gabre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR,,,,Elohim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE,KECPR2014-165987,ELRIS COMPANY LIMITED,scoreB,Elris,ELRIS COMPANY LIMITED,KECPR2014-165987,KE, , , ,WW*110179230748,n.a.,Active,28/10/2014,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
SSA,GBNF002985,ELTON INTERNATIONAL LIMITED,scoreA,Elton Int,ELTON INTERNATIONAL LIMITED,GBNF002985,GB, , , , , ,Inactive (no precision),14/05/1991,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
TR,,,,EM Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZA,,,,Emilda C Kotokwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,US150547278,EMPOWER FEDERAL CREDIT UNION (Alias: EMPOWER),scoreA,Empower,EMPOWER FEDERAL CREDIT UNION,US150547278,US,6419,5221,Banks,US150547278,US,Active,01/01/1939,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,543,898","152,599",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,482,"98,835",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"16,045",n.a.,n.a.,n.a.,n.a.,n.a.,"16,045",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.s.,n.a.,n.a.
ZM,,,,Empowerex Trd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLD,US126154044L,COGNITION CORP,scoreE,Encognition,COGNITION CORP,US126154044L,US,6201,5415,Other services, , ,Active,1987,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
