original_name,country_code,mapped_name,mapped_bvdId,mapping_score
"Shenzhen Futu Network Technology (Futu Securities, Futu5)",CN,"SHENZHEN FUTU NETWORK TECHNOLOGY CO.,LTD",CN9361545007,scoreB
Goodera,IN,GOODERA INFORMATION TECHNOLOGIES PRIVATE LIMITED,IN0003281332,scoreE
HyperTrack,IN,HYPERTRACK TECHNOLOGIES PRIVATE LIMITED,IN0015084514,scoreB
QingCloud Beijing U-fan Technology,CN,"BEIJING UCLOUDLINK TECHNOLOGY CO., LTD.",CN9394705435,scoreE
Southeast Asia Solar PV Project (JV w/ Entoria Energy),,,,
"Shanghai Juqi Network Technology (TKing, Niumowang)",CN,"SHANGHAI JUQI NETWORK TECHNOLOGY CO.,LTD",CN9364564794,scoreB
AIBoxx Solutions (Boxx.ai),IN,AIBOXX SOLUTIONS PRIVATE LIMITED,IN0015557523,scoreB
UUPaotui,CN,,,
Protein Kissè-Là,CI,PROTEIN KISSE L A S A,CI0000036369,scoreB
Shanghai Zhuyun Information Technology (CloudCare),CN,"SHANGHAI SHUYUAN INFORMATION TECHNOLOGY CO., LTD.",CN9367193215,scoreB
Farmfriend (Nongtian Guanjia),CN,,,
Ecofrio,MX,ECOFRIO SAPI DE CV,MX*Z00273480,scoreA
AviNiger,NE,AVINIGER,NE*Z00299859,scoreA
Singapore Diamond Investment Exchange (SDiX),SG,SINGAPORE DIAMOND INVESTMENT EXCHANGE PTE. LTD.,SG201024911Z,scoreA
Beijing Aikangding Technology,CN,"BEIJING TAISHIKANGDA TECHNOLOGY CO.,LTD",CN9360888744,scoreB
Shanghai Fortunate Auto Information Technology,CN,"SHANGHAI PRONETWAY INFORMATION TECHNOLOGY CO., LTD.",CN40929PC,scoreB
Rundo International Pharmaceutical Research & Development,CN,"RUNDO INTERNATIONAL PHARMACEUTICAL RESEARCH & DEVELOPMENT CO., LTD.",CN9382289116,scoreA
Wantedlab,KR,WANTED LAB INC.,KR1311110405166,scoreA
IDRIVER+ TECHNOLOGIES,CN,TECHNOLOGIES CO LTD,CN*340611944,scoreC
Xin Point Holdings,CN,XIN POINT HOLDINGS LIMITED,HK0025399673,scoreA
Shedul.com,AE,,,
Kare Distribution,UG,KARE DISTRIBUTION LIMITED,UG80010000677200,scoreB
Multiplier Solutions,IN,MULTIPLIER SOLUTIONS,IN*Z00271064,scoreA
ABI Health,IN,ABI HEALTH,IN*Z00271065,scoreA
HostelHunting,MY,HOSTEL HUNTING SDN BHD,MY*Z00271076,scoreA
MoneySmart,SG,MONEYSMART SINGAPORE PTE. LTD.,SG201731029D,scoreA
Yanolja,KR,"YANOLJA CO.,LTD.",KR1101113612375,scoreA
Greenday Group,TH,GREENDAY GROUP COMPANY LIMITED,TH0115559026661,scoreA
PhiSkin,CN,PHISKIN,CN*P0069639,scoreA
Blue Jay Finlease (ZipLoan),IN,BLUE JAY FINLEASE LIMITED,IN0001750289,scoreB
Swan Energy,IN,SWAN ENERGY LIMITED,IN31473FI,scoreA
Wavecell,SG,WAVECELL PTE. LTD.,SG201019122K,scoreA
Oncologos del Occidente,CO,ONCOLOGOS DEL OCCIDENTE S A S,CO8010007139,scoreA
Grasshoppers,LK,,,
Nomisma Mobile Solutions (FTcash),IN,NOMISMA MOBILE SOLUTIONS PRIVATE LIMITED,IN0012398677,scoreB
Entrevias,BR,PEREIRA DA ROCHA CONFECCOES LTDA - ME (Alias: ENTREVIA),BR11150669000186,scoreB
BHIVE Workspace,IN,,,
Yellow Drive Technologies (Spinny),IN,YELLOW DRIVE TECHNOLOGIES PRIVATE LIMITED,IN0014425345,scoreA
Carsome,MY,CARSOME SDN BHD,MY*Z00207439,scoreA
Shansong Express,CN,"SHANDONG HI-SPEED CO., LTD. (Previous name: SHANDONG EXPRESSWAY CO., LTD.)",CN30704PC,scoreC
Hugel,KR,HUGEL INC.,KR1101112380890,scoreA
GMD,PE,GMD SA,PE20100153751,scoreA
Fruta del Norte,EC,FRUTA DEL NORTE,EC*700121508,scoreA
Doc+,RU,LIMITED LIABILITY COMPANY DOC,RU22954220N,scoreE
Princeton Growth Ventures (PGV),,,,
WaystoCap,MA,WAYSTOCAP,MA314123-81,scoreA
Orbit Corporate and Leisure Travels (Goomo),IN,ARISE LEISURE AND CORPORATE TRAVELS PRIVATE LIMITED,IN0015637974,scoreB
Dajie.com,CN,DAJIE.COM,CN*904464588,scoreA
AI-Drive,CN,"SHENZHEN AIDRIVING CO., LTD.",CN9398813587,scoreE
Beisen Appraisal Technology,CN,,,
Shenzhen Yuejiang Technology (Dobot),CN,"SHENZHEN YUEJIANG TECHNOLOGY CO., LTD",CN*Z00273853,scoreB
Snapask,CN,SNAPASK LIMITED,HK0021871361,scoreA
Qingdao Haier Home Integration,CN,"QINGDAO HAIER HOME INTEGRATION CO., LTD.",CN9364194860,scoreA
Med Imagem,BR,MED IMAGEM S/C (Alias: MED IMAGEM),BR63326243000134,scoreA
Konduto,BR,KONDUTO INTERNET DATA TECHNOLOGY S/A (Alias: KONDUTO),BR19780395000110,scoreA
Qingdao Krund Robot,CN,"QINGDAO HAIER ROBOT CO., LTD.",CN9361170442,scoreB
Mera Gao Power,IN,MERA GAO MICRO GRID POWER PRIVATE LIMITED,IN0008305676,scoreB
Unicoba,BR,UNICOBA IMPORTACAO E EXPORTACAO LTDA (Alias: UNICOBA),BR43823525000130,scoreA
Tata Cleantech Capital,IN,TATA CLEANTECH CAPITAL LIMITED,IN0008922378,scoreA
Redaya Energi - Tolo Wind Farm,ID,,,
OneTwoTrip.com,RU,IP-COM LTD,RU14916263,scoreB
Crezcamos,CO,CREZCAMOS S.A.,CO9002112630,scoreA
Yogome,MX,YOGOME,MX*913436384,scoreA
Mosyle,BR,MOSYLE CORPORATION,BR29213804000150,scoreA
Qingzhi Technology,CN,"QINGZHI ORIENT ( BEIJING ) MEDIA TECHNOLOGY CO.,LTD",CN9360881648,scoreB
DocSuggest Healthcare Services (Ziffi),IN,DOCSUGGEST HEALTHCARE SERVICES PRIVATE LIMITED,IN0007828239,scoreA
EngageSpark,PH,ENGAGESPARK PH INC.,PHCS201322110,scoreB
Homedy,VN,HOMEDY CORPORATION,VN0106951559,scoreA
Blink My Car,LB,MY CAR SARL,LB0000196595,scoreB
Seez,LB,,,
Hospital Vera Cruz,BR,HOSPITAL VERA CRUZ S A,BR46009718000140,scoreA
Vcount,TR,V COUNT TEKNOLOJI ANONIM SIRKETI,TR1699851F,scoreE
Utkarsh Micro Finance,IN,UTKARSH MICRO FINANCE LIMITED,IN0005508492,scoreA
Law Union Rock,NG,LAW UNION & ROCK INSURANCE PLC,NG6286R,scoreB
"Yuanfudao (Yuantiku, Xiaoyuansouti)",CN,,,
Green Tea Restaurant,CN,,,
Mercadoni,CO,MERCADONI COL S A S,CO9011734755,scoreC
TecSUS,BR,TECSUS MANUTENCOES EM SUSPENSAO LTDA - EPP (Alias: TECSUS),BR14831559000178,scoreA
Samast Technology (Magicpin),IN,,,
Boxi,CO,,,
Supr Techlabs (Supr Daily),IN,SUPR TECHLABS PRIVATE LIMITED,IN0014914331,scoreB
Lendit,KR,"LENDIT CO.,LTD.",KR1101115676270,scoreA
Loadshare Networks,IN,LOADSHARE NETWORKS PRIVATE LIMITED,IN0015893091,scoreA
InventisBio,CN,INVENTISBIO INC.,CN*Z00271277,scoreA
Grupo Axo,MX,GRUPO AXO SC,MXGAX9802048J6,scoreA
Bundl Technologies (Swiggy),IN,BUNDL TECHNOLOGIES PRIVATE LIMITED,IN0011898793,scoreB
Niyogin Fintech,IN,NIYOGIN FINTECH LIMITED,IN113242FI,scoreA
Bain Capital NPL Portfolio,CN,,,
Collateral Medical,IN,COLLATERAL MEDICAL PRIVATE LIMITED,IN0010397201,scoreA
Societe Equatoriale de Petrole (SODEP),CD,SOCIETE EQUATORIALE DE PETROLE SARL,CD0000026184,scoreB
Bank-Genie,SG,BANK-GENIE PTE. LIMITED,SG201620236N,scoreA
Kaishuo Jianggushi,CN,"CASETEK COMPUTER (SUZHOU) CO., LTD.",CN9360273052,scoreC
Cube Consumer Services (Bankoncube.com),IN,CONSUMER SERVICES PVT LTD,IN0010305526,scoreC
Ascent Health and Wellness Solutions (Dial Health),IN,ASCENT HEALTH AND WELLNESS SOLUTIONS PRIVATE LIMITED,IN0011734544,scoreA
Gnowbe,SG,GNOWBE PTE. LTD.,SG201534009Z,scoreA
Jasper Infotech (Snapdeal),IN,JASPER INFOTECH PRIVATE LIMITED,IN0004063293,scoreB
Fun Factory,CN,SHIFEN FACTORY,CN9362071366,scoreB
Luxstay,VN,,,
Lechebang.com,CN,,,
Baidu Perfect Literature (Zhongheng Literature),CN,,,
Acko General Insurance,IN,ACKO GENERAL INSURANCE LIMITED,IN0016394113,scoreA
Beijing MyDreamPlus Technology,CN,"BEIJING MYZR TECHNOLOGY CO., LTD.",CN9391857815,scoreC
Servion,IN,SERVION PHARMACEUTICALS PRIVATE LIMITED,IN0016380269,scoreB
Ismaya Group,ID,,,
SpectX,EE,SPECTX OU,EE14194054,scoreA
Glakolens,TR,,,
Able C&C,KR,"ABLE C & C CO.,LTD.",KR1101111846174,scoreA
Wow Momo Foods,IN,WOW MOMO FOODS PRIVATE LIMITED,IN0014382296,scoreA
CloudIn,CN,,,
China Great Wall Environment Improving,CN,"CHINA GREAT WALL INDUSTRY GUANGZHOU CO., LTD.",CN9384259799,scoreB
Cloud Exchange,,CLOUD EXCHANGE PRIVATE LIMITED,IN0014536697,scoreA
Bangsun Technology,CN,,,
NightStay,IN,NIGHTSTAY TRAVELS PRIVATE LIMITED,IN0014371714,scoreB
Sea,SG,SEA PTE. LTD.,SG201724123D,scoreA
K.L.F Nirmal Industries,IN,K.L.F. NIRMAL INDUSTRIES PRIVATE LIMITED,IN0010898056,scoreA
Beijing Mingtongsiji Technology,CN,"BEIJING MINGTONG SIJI TECHNOLOGY CO., LTD.",CN9367157542,scoreA
Sepalika,IN,,,
MobiExchanger,CN,,,
Beijing Huajuan'er Technology,CN,"BEIJING HUAJIUSANLI TECHNOLOGY CO.,LTD",CN9360952904,scoreB
Beijing Vhall Times Technology,CN,"BEIJING SHARETIMES TECHNOLOGY CO., LTD.",CN48875PC,scoreB
Beijing Jiage Tiandi Technology (Gagogroup.cn),CN,"BEIJING TIANDI SCIENCE AND TECHNOLOGY CO., LTD. SHANGHAI BRANCH",CN9360021370,scoreB
Didi Chuxing,CN,"DIDI CHUXING TECHNOLOGY CO., LTD.",CN9398999797,scoreB
Head InfoTech India (Ace2three.com),IN,HEAD INFOTECH INDIA PVT LTD,IN0007955808,scoreB
Haishangxian.cn,CN,HAI SHANG XIAN HAI XIAN YUE HUI ( BEI JING ) CAN YIN YOU XIAN GONG SI,CN9404436101,scoreE
CanSino Biotechnology,CN,TIANJIN CANSINO BIOTECHNOLOGY INC.,CN*Z00094068,scoreB
RS Research,TR,FIBA RESEARCH,TR*905183534,scoreD
CANbridge Life Sciences,CN,CANBRIDGE LIFE SCIENCES LTD,CN*Z00272553,scoreA
"Shanghai Chubao Information Technology (Chule, Touchpal)",CN,"SHANGHAI CHUBAO INFORMATION TECHNOLOGY CO., LTD",CN*Z00253698,scoreB
Shebao Information Technology,CN,"SHEBAO INFORMATION TECHNOLOGY (SHANGHAI) CO., LTD",CN*Z00222245,scoreA
Buka.tv,CN,,,
Compareit4me,AE,,,
Poncho Hospitality (Box8),IN,,,
Chiaki Culture Communication (Qianqiusui),CN,,,
Cloudwise (Beijing) Technology,CN,,,
Green Gold Farms,MX,GREEN GOLD FARMS SAPI DE CV,MX*Z00268952,scoreA
Modern House,KR,MODERN HOUSE,KRK915585,scoreA
Duocaitou,CN,,,
Fan Milk International,,FAN MILK INTERNATIONAL A/S,DK44326728,scoreA
Frontier Car Group,,FRONTIER CAR GROUP INC.,US*110143613403,scoreA
Grupo Disal,CL,,,
Acudeen Technologies,PH,ACUDEEN TECHNOLOGIES INC.,PHCS201606744,scoreA
Ummeed Housing Finance,IN,UMMEED HOUSING FINANCE PRIVATE LIMITED,IN0015509061,scoreA
SPi Global Holdings,PH,SPI GLOBAL HOLDINGS INC.,PH*Z00031597,scoreA
Mech-mind,CN,,,
CloudWell,BD,,,
Yangcong345,CN,,,
Healthway Medical,SG,HEALTHWAY MEDICAL GROUP PTE LTD,SG199400795H,scoreA
PaySense Services,IN,,,
Guangdong Jianke Medicine,CN,"GUANGDONG JIANYE MEDICINE CO.,LTD YANJIANGLUDAYAO HOUSE",CN9361651453,scoreA
Suzhou Bona Dynamic Software,CN,,,
FKS Food & Agri,ID,,,
Arohan Financial Services,IN,AROHAN FINANCIAL SERVICES PRIVATE LIMITED,IN0001090745,scoreA
Infonesia,ID,,,
Taoshihui (The Wisdom Store),CN,,,
Derkwoo Electronics,KR,"DERKWOO ELECTRONICS CO.,LTD.",KR1760110006963,scoreA
Kyungnam Energy,KR,"KYUNGNAM ENERGY CO.,LTD.",KR1901110001509,scoreA
ETop Pass,CN,,,
EcoSea Farming,CL,ECOSEA FARMING S.A.,CL760244422,scoreA
DeePhi Tech,CN,,,
Immunotec,MX,,,
One Season Boot Camp,CN,,,
GLXSS,CN,,,
Huya,CN,HUYA LIMITED,HK0023699718,scoreA
Kanakadurga Finance,IN,KANAKADURGA FINANCE LIMITED,IN0004304965,scoreA
Fetchr,AE,FETC HR,AE*976002753,scoreA
Ahlijasa,ID,AHLIJASA,ID*901932880,scoreA
4xLabs,SG,4XLABS PTE. LTD.,SG201104120M,scoreA
Moni,AR,,,
WDC Networks,BR,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A (Alias: WDC NETWORKS),BR05917486000140,scoreA
Yitu Technology,CN,,,
Echoenergia,BR,,,
Komaza,KE,,,
Shopsense (Fynd),IN,,,
Nhat Tin Investment Trading Development,VN,NHAT TIN INVESTMENT TRADING DEVELOPMENT JOINT STOCK COMPANY,VN0312803588,scoreA
Oddup,CN,ODDUP LIMITED,HK0022052813,scoreA
Hangzhou Wacai Science,CN,,,
Cwelding Technology (Ruigu Shop),CN,,,
Zike,CN,,,
EV Hive,ID,,,
Shanghai Kenexa Human Resources Consulting (KNX),CN,,,
Britania Foods (Jambo Biscuits),KE,,,
Utkal Tubers India,IN,UTKAL TUBERS INDIA PRIVATE LIMITED,IN0015441719,scoreA
Anxin Apartment,CN,,,
Kunshang Culture Media (Kunlun Fight),CN,,,
Aegro,BR,,,
Nibo,BR,,,
Shanghai Dianda Information Technology,CN,"SHANGHAI DIANDA INFORMATION TECHNOLOGY CO.,LTD",CN9364540422,scoreA
XSKY Beijing Data Technology,CN,"XSKY (BEIJING) DATA TECHNOLOGY CO., LTD",CN*Z00223188,scoreA
OptiCo,ZA,OPTICO (PTY) LTD,ZA201100841907,scoreA
Innogrid,KR,"INNO GRID CO.,LTD.",KR1101113538191,scoreA
Zigzag (Croquis),KR,,,
Molbase Technology,CN,,,
Social Worth Technologies (EarlySalary),IN,SOCIAL WORTH TECHNOLOGIES PRIVATE LIMITED,IN0015102852,scoreA
Asante,KE,,,
Stylam Industries,IN,STYLAM INDUSTRIES LTD,IN33041FI,scoreA
Hesai,CN,,,
Wook,ID,,,
Shanghai Star48 Culture & Media,CN,,,
G-Banker.com,CN,G-BANKER.COM,CN*P0071787,scoreA
Resulticks,SG,RESULTICKS SINGAPORE PTE. LTD.,SG201429642C,scoreA
Beijing Yidianyuan Network Technology (Xiaodian),CN,,,
Sequretek IT Solutions,IN,SEQURETEK IT SOLUTIONS PRIVATE LIMITED,IN0012027541,scoreA
LightSpace Technologies,LV,LIGHTSPACE TECHNOLOGIES SIA,LV010375855,scoreA
World Fitness Services (World Gym Taiwan),TW,,,
Rotometal,PL,R O T OMETAL SP. Z O.O.,PL081041148,scoreA
Translatum Holdings (TransNetwork),,,,
Cornershop,,CORNER SHOP D.O.O. BEOGRAD,RS20569417,scoreA
Good Methods,IN,,,
Tu Ma Shenwei Medical Technology,CN,,,
Ben Thanh Jewelry,VN,BEN THANH JEWELRY JOINT STOCK COMPANY,VN0300847936,scoreA
Yingde Gases,CN,YINGDE GASES GROUP COMPANY LIMITED,HK0000172606,scoreA
Transwarp,CN,,,
Spirohome,TR,,,
Dealcha!,TH,DEALCHA COMPANY LIMITED,TH0105558147929,scoreA
Universidad Tres Culturas,MX,UNIVERSIDAD DE LAS TRES CULTURAS SC,MXUTC9903183C7,scoreA
Popular Vehicles and Services,IN,POPULAR VEHICLES AND SERVICES PRIVATE LIMITED,IN0000220651,scoreA
Monishop,CD,,,
Vinci,CN,,,
Deyor Camps,IN,,,
Home First Finance,IN,,,
Fortigo Networks Logistics,IN,FORTIGO NETWORK LOGISTICS PRIVATE LIMITED,IN0015252911,scoreA
GBfoods Africa Holdco,,GB FOODS AFRICA HOLDCO B.V.,NL66902894,scoreA
ExoCoBio,KR,EXOCO BIO INC.,KR1341110458170,scoreA
WuXi NextCODE,CN,,,
Hunan Fumi Information Technology,CN,"HUNAN FUMI INFORMATION TECHNOLOGY CO., LTD.",CN9367166596,scoreA
Integer.pl,PL,INTEGER.PL S.A.,PL356590980,scoreA
InPost (easyPack),PL,,,
The Harvest Patissier & Chocolatier,ID,,,
Live.me,CN,,,
African Agency for Credit and Enterprise,MU,AFRICAN AGENCY FOR CREDIT AND ENTERPRISE LTD,MU0001549827,scoreA
HealthCare at Home India,IN,HEALTH CARE AT HOME INDIA PRIVATE LIMITED,IN0007958243,scoreA
Neozeka,TR,,,
ACL Teslim,TR,,,
Korozo,TR,,,
Weiyang,CN,WEI YANG LIMITED,HK0016841154,scoreA
"Guangzhou Senji Software Technology (Lizhiweike, Lychee)",CN,,,
Energy Monster,CN,,,
Fun Factory,CN,,,
Nanogen Biopharmaceutical,VN,,,
ALOG Technology,CN,"ALOG TECHNOLOGY CO., LTD.",CN*D00430708,scoreA
L&P Cosmetics,KR,"L & P COSMETIC CO.,LTD.",KR1101114081553,scoreA
UiPath,RO,UIPATH SRL,RO34737997,scoreA
Ticket Monster,KR,TMON INC. (Previous name: TICKET MONSTER INC.),KR1101114317247,scoreA
Shanghai City Shop,CN,,,
Awfis Space Solutions,IN,AWFIS SPACE SOLUTIONS PRIVATE LIMITED,IN0013891208,scoreA
M17 Entertainment,SG,,,
Office Depot Korea,KR,"OFFICE DEPOT KOREA CO.,LTD.",KR1101111618094,scoreA
ZipGo,IN,,,
Metarain Software Solutions (Myra Medicines),IN,,,
Pumping Team,MX,,,
Stockbit,ID,,,
My-Sutera,MY,MY-SUTERA SDN. BHD.,MY367254-M,scoreA
Lynk,CN,LYNK LTD,HK*Z00270597,scoreA
Rapidoo,BR,,,
Farmacias Independente,BR,VJ FARMA LTDA (Alias: FARMACIAS INDEPENDENTE),BR01693953000145,scoreA
Volanty,BR,VOLANTY LLC (Alias: VOLANTY),BR26538343000106,scoreA
EpimAb Biotherapeutics,CN,"EPIMAB BIOTHERAPEUTICS CO., LTD",CN*Z00266779,scoreA
Kensta Group,KE,KENSTA GROUP,KE*Z00265691,scoreA
Neoway,BR,,,
Faasos,IN,,,
Niramai Health Analytix,IN,NIRAMAI HEALTH ANALYTIX PRIVATE LIMITED,IN0015522149,scoreA
UrbanClap Technologies,IN,,,
Fiem Industries,IN,FIEM INDUSTRIES LIMITED,IN33458FI,scoreA
Ad Victoriam Ventures (StalkBuyLove),IN,AD VICTORIAM VENTURES PRIVATE LIMITED,IN0007744244,scoreA
AllLife,ZA,ALL LIFE (PTY) LTD,ZA200400828307,scoreA
Little Green Beverages,ZA,OLD LITTLE GREEN BEVERAGES (PTY) LTD,ZA200603401607,scoreA
Shadow Creator Information Technology,CN,,,
TianYi Research Institute,CN,,,
SunCulture,KE,,,
PayGo Energy,KE,PAYGO ENERGY LIMITED,KECPR2016-007312,scoreA
MA's Foods,LK,,,
Autoplus,KR,AUTO PLUS INC.,KR1101111847784,scoreA
Sanjay Maintenance Services,IN,SANJAY MAINTENANCE SERVICES PVT. LTD.,IN11-125538,scoreA
Shanghai Bai Ji Information Technology,CN,"SHANGHAI ZHIZI INFORMATION TECHNOLOGY CO., LTD.",CN46612PC,scoreA
Swingvy,SG,SWINGVY PTE. LTD.,SG201635071C,scoreA
Beijing Base Technology (U-Parking),CN,,,
Instituto Terapeutico Delta,BR,INSTITUTO TERAPEUTICO DELTA LTDA.,BR*190521561475,scoreA
YeeCall,CN,,,
Microvast Power Systems (MPS),CN,,,
Masan Nutri-Science,VN,MASAN NUTRI-SCIENCE CORPORATION,VN0311224517,scoreA
IceKredit,CN,,,
Asian Institute of Nephrology and Urology,IN,ASIAN INSTITUTE OF NEPHROLOGY AND UROLOGY PRIVATE LIMITED,IN0013444264,scoreA
Holachef Hospitality,IN,HOLACHEF HOSPITALITY PRIVATE LIMITED,IN0012035762,scoreA
Winthrop Pharma Senegal,SN,,,
Muxi,BR,,,
Eco Minera,AR,ECO MINERA SA,AR30-68169727-2,scoreA
Village Grocer,MY,VILLAGE GROCER SDN BHD,MY645017-A,scoreA
Absentia Virtual Reality,IN,ABSENTIA VIRTUAL REALITY PRIVATE LIMITED,IN0014889812,scoreA
mobLee,BR,MOBLEE TECNOLOGIA DA INFORMACAO S.A. (Alias: MOBLEE),BR13494405000175,scoreA
Escale,BR,ESCALE PINTURAS PREDIAIS E COMERCIO LTDA (Alias: ESCALE),BR73150104000156,scoreA
General Water,BR,GENERAL WATER S/A,BR04088389000120,scoreA
Whodat Tech,IN,WHODAT TECH PRIVATE LIMITED,IN0013658049,scoreA
